" GROUPID","GROUPNAME"
"0100","WELD COUNTY"
"0201","SCHOOL DIST RE1-GILCREST"
"0202","SCHOOL DIST RE2-EATON"
"0203","SCHOOL DIST RE3J-KEENESBURG"
"0204","SCHOOL DIST RE4-WINDSOR"
"0205","SCHOOL DIST RE5J-JOHNSTOWN"
"0206","SCHOOL DIST 6-GREELEY"
"0207","SCHOOL DIST RE7-KERSEY"
"0208","SCHOOL DIST RE8-FORT LUPTON AND DACONO"
"0209","SCHOOL DIST RE9-AULT"
"0210","SCHOOL DIST RE10J-BRIGGSDALE"
"0211","SCHOOL DIST RE11J-NEW RAYMER"
"0212","SCHOOL DIST RE12-GROVER"
"0213","SCHOOL DIST RE1J-LONGMONT"
"0214","SCHOOL DIST R2J-LOVELAND"
"0215","SCHOOL DIST R20J-WELDONA"
"0216","SCHOOL DIST 27J-BRIGHTON"
"0217","SCHOOL DIST RE50J-WIGGINS"
"0301","NORTHERN COLORADO WATER (NCW)"
"0302","CENTRAL COLORADO WATER (CCW)"
"0303","ST VRAIN LEFT HAND WATER (SVW)"
"0304","NORTH WELD COUNTY WATER (NWC)"
"0305","CENTRAL WELD COUNTY WATER (CWC)"
"0306","LITTLE THOMPSON WATER (LTW)"
"0307","NORTH KIOWA BIJOU GWMD GROUNDWATER (NKB)"
"0308","LOST CREEK GROUNDWATER (LCGW)"
"0309","CENTRAL COLORADO WATER SUBDISTRICT (CCS)"
"0310","EAST LARIMER COUNTY WATER (ELW)"
"0311","LEFT HAND WATER"
"0312","LONGS PEAK WATER"
"0313","CENTRAL COLO WATER WELL (CCA)"
"0314","FORT COLLINS-LOVELAND WATER"
"0377","UPPER CROW CREEK GROUND WATER MANAGEMENT DISTRICT"
"0401","AULT TOWN"
"0402","DACONO TOWN"
"0403","EATON TOWN"
"0404","ERIE TOWN"
"0405","EVANS CITY"
"0406","FIRESTONE TOWN"
"0407","FORT LUPTON CITY"
"0408","FREDERICK TOWN"
"0409","GARDEN CITY TOWN"
"0410","GILCREST TOWN"
"0411","GREELEY CITY"
"0412","GROVER TOWN"
"0413","HUDSON TOWN"
"0414","JOHNSTOWN TOWN"
"0415","KEENESBURG TOWN"
"0417","KERSEY TOWN"
"0418","LASALLE TOWN"
"0419","LOCHBUIE TOWN"
"0420","MEAD TOWN"
"0421","MILLIKEN TOWN"
"0422","NUNN TOWN"
"0423","PIERCE TOWN"
"0424","PLATTEVILLE TOWN"
"0425","NEW RAYMER TOWN"
"0427","SEVERANCE TOWN"
"0428","WINDSOR TOWN"
"0429","BRIGHTON TOWN"
"0431","NORTHGLENN TOWN"
"0433","LONGMONT TOWN"
"0434","BERTHOUD TOWN"
"0435","TIMNATH TOWN OF"
"0501","AULT FIRE"
"0502","BERTHOUD FIRE"
"0503","GREATER BRIGHTON FIRE"
"0505","EATON FIRE"
"0506","FORT LUPTON FIRE"
"0507","FREDERICK-FIRESTONE FIRE"
"0508","GALETON FIRE"
"0509","HUDSON FIRE"
"0510","FRONT RANGE FIRE RESCUE FIRE PROTECTION DISTRICT"
"0511","LASALLE FIRE"
"0512","MOUNTAIN VIEW FIRE PROTECTION DISTRICT"
"0514","NUNN FIRE"
"0515","PLATTE VALLEY FIRE"
"0516","PLATTEVILLE-GILCREST FIRE"
"0517","POUDRE VALLEY FIRE"
"0518","S. E. WELD FIRE"
"0519","WESTERN HILLS FIRE"
"0520","WIGGINS FIRE"
"0521","WINDSOR-SEVERANCE FIRE"
"0522","PAWNEE FIRE"
"0523","RAYMER-STONEHAM FIRE"
"0524","BRIGGSDALE FIRE"
"0527","NORTH METRO FIRE"
"0532","NORTH METRO FIRE (BOND 2025)"
"0534","EVANS FIRE"
"0606","GALETON SANITATION"
"0620","ST VRAIN SANITATION"
"0622","BOXELDER SANITATION"
"0700","AIMS JUNIOR COLLEGE"
"0802","GREELEY DOWNTOWN DEVELOPMENT AUTHORITY"
"0804","10TH STREET GURA"
"0805","GREAT WESTERN SUGAR GURA"
"0806","GREELEY MALL GURA"
"0833","WINDSOR DOWNTOWN DEVELOPMENT (WDDA)"
"0835","NORTH BRIGHTON URBAN RENEWAL 2"
"0842","FIRESTONE DOWNTOWN DEVELOPMENT AUTHORITY"
"0900","CARBON VALLEY REC"
"0901","THOMPSON RIVER REC"
"0911","EATON AREA PARK AND RECREATION DISTRICT"
"0944","BRIGHTON URBAN RENEWAL (BURA)"
"0945","MINER'S VILLAGE URBAN RENEWAL (MVURA)"
"0946","WYNDHAM HILL TOWN CENTER URBAN RENEWAL (WURA)"
"0947","EAST 8TH STREET GURA"
"0948","ERIE AREA 4 TIF"
"0949","ERIE HISTORIC URBAN RENEWAL"
"0950","ERIE URBAN RENEWAL"
"0951","FORT LUPTON URBAN RENEWAL AUTHORITY (FLURA)"
"0952","SOUTHERN FIRESTONE URBAN RENEWAL (SFURA)"
"0953","NORTHERN FIRESTONE URBAN RENEWAL (NFURA)"
"0962","CENTRAL FIRESTONE URA (CFURA)"
"0964","SCHILLINGER URBAN RENEWAL AUTHORITY (SURA)"
"0965","DACONO URBAN RENEWAL AUTHORITY"
"0966","EATON DOWNTOWN DEVELOPMENT AUTHORITY"
"0970","MEADOWLARK BUSINESS PARK URBAN RENEWAL (MLURA)"
"0971","EAGLE BUSINESS PARK URBAN RENEWAL AUTHORITY"
"0972","MEAD URBAN RENEWAL AUTHORITY"
"0973","HISTORIC EVANS URBAN RENEWAL"
"0974","HIGHWAY 85 CORRIDOR URBAN RENEWAL"
"0975","BIGHORN URBAN RENEWAL AUTHORITY"
"0976","DACONO II URBAN RENEWAL AUTHORITY"
"0977","ERIE GATEWAY PHASE 1 URBAN RENEWAL AUTHORITY"
"0980","ASH PARK AND RECREATION DISTRICT"
"0981","WAKE PARK AND RECREATION DISTRICT"
"0995","FUTURE LEGENDS SPORTS PARK BID"
"0996","ELEVATION 25 GENERAL IMPROVEMENT DISTRICT"
