" BLTASOCC","BLTASOCCDESC"
"0","Permit Value"
"1","Ranch 1 Story"
"10","Cabin"
"11","A Frame"
"1100","Barns (Two-Story)"
"1101","Barns (Two-Story) - Special Purpose"
"1103","Barns-Special Purpose"
"1104","Light Commercial-Commodity Warehouse"
"1105","Confinement Barns"
"1110","Hog Barns-Farrowing"
"1113","Hog Barns-Finishing"
"1118","Poultry Floor Operation - Broiler Houses"
"1119","Turkey Barns"
"1120","Sheep Sheds"
"1123","Seed Processing Storage"
"1124","Farm Utility Lean-Tos"
"1125","Poultry Cage Operation-Screened Houses"
"1127","Winery (Tasting-Display) Shops"
"1129","Parking Lot *Code"
"1132","Individual Livestock Shelters"
"1133","Prefabricated Storage Shed Buildings"
"1155","Hunting Shelters"
"1156","Alternative School"
"1157","Maintenance (Storage) Buildings (School)"
"1171","Commercial (Institutional); Greenhouses"
"1174","Pavilions"
"1175","Ice Skating Rinks"
"12","Dome"
"13","Cottage"
"1300","Luxury Apartments Hi-Rise"
"1311","Senior (Clubhouse) Centers"
"1312","Multiple Residences - Retirement Complex"
"1318","Mall Anchor (Department) Store"
"1319","Drug Store"
"1332","Hotels - Limited Service"
"1343","Extended Stay Motels"
"1398","Fruit Packing Barns"
"141","Tanks  *CODE"
"1413","Shopping Center Mall Concourse Enclosed"
"1414","Shopping Center Mall Concourse Covered"
"1415","Shopping Center Mall Concourse Open"
"1421","Farm Utility/Grain Storage"
"1429","Modified Hog Sheds"
"1430","Hog Sheds"
"144","Grain Hopper"
"1440","Milkhouse"
"1448","Farm Cold Storage Buildings"
"145","Corrals  *CODE"
"1450","Cotton Gins"
"1458","Warehouse Discount Store"
"1459","Mixed Retail w/ Res Units"
"146","Scales Cattle  *CODE"
"1460","Mixed Retail w/ Office Units"
"1461","Community Shopping Center Shell Buildings"
"1462","Regional Shopping Center Shell Buildings"
"1463","Neighborhood Shopping Center Shell Buildings"
"1465","Prefabricated Food Booths"
"1466","Boat Storage Sheds"
"1467","Boat Storage Buildings"
"1468","Material Storage Sheds"
"1469","Free-Stall Barns"
"147","Scales Platform  *CODE"
"1471","Light Commercial Utility"
"1473","Material Shelters"
"148","Scales Truck  *CODE"
"149","Solar Room  *CODE"
"1499","Laundry/Dry Cleaning"
"150","Race Track  *CODE"
"1502","Supplemental Values *CODE"
"151","Swimming Pool  *CODE"
"1513","Regional Discount Shopping Centers"
"152","Pumps  *CODE"
"153","Salvage Yard  *CODE"
"154","Steel Tank Low Stress - Above ground"
"155","Steel Tank High Stress - Above ground"
"156","Welded Steel Water Tank"
"157","Bolted Steel Water Tank"
"158","Concrete Water Tank"
"159","Wood Tank"
"1596","Shell Apartments (High-Rise);"
"160","Galvanized SteelTank"
"1605","Fenced Lot *Code"
"1608","Fire Tower *Code"
"161","Towers"
"162","Fiberglass Sngl Wall Underground Fuel Tank"
"163","Fiberglass Dbl Wall Underground Fuel Tank"
"164","Steel Sngl Wall Underground Fuel Tank"
"165","Steel Dbl Wall Underground Fuel Tank"
"166","Fiber Coated Steel Sgl Wall Underground Fuel Tank"
"167","Fiber Coated Steel Dbl Wall Underground Fuel Tank"
"168","Welded Steel Tank"
"169","Bolted Steel Tank"
"17","Apartment <= 3 Stories"
"170","Horizontal Bulk Tank"
"171","Horizontal Plastic Tank"
"172","Vertical Welded Tank"
"173","Vertical Bulk Tank"
"174","Vertical Plastic Tank"
"175","Welded Pressure"
"177","High-Rise Row (Town) Houses"
"18","Apartment > 3 Stories"
"180","Feed Handling and Mixing"
"181","Secure Storage Modular Shed Bldgs"
"182","Calving Barns - Sheds"
"183","Golf Starter (Guard House) Booths"
"184","Arena Shelters"
"186","Light Commercial - Manufacturing Utility Bldg"
"19","Condo <= 3 Stories"
"195","Commercial Tennis Court"
"2","Bi Level"
"20","Condo > 3 Stories"
"200","Air Support Structures  *CODE"
"201","Bulk Oil"
"203","Commuter Terminal, Airline, Bus"
"204","Computer Centers"
"207","Firing Range Buildings"
"208","Golf Course  *CODE"
"209","Nursery/Greenhouse"
"21","Modular 1 Story"
"210","Industrial Flex Mall Building"
"211","Industrial Interior Office Space"
"212","Laboratories"
"213","Light Industrial Shell Buildings"
"214","Mausoleums  *CODE"
"215","Natatoriums  *CODE"
"216","Radio & TV Stations"
"217","Manufactured Home Parks  *CODE"
"218","Stadiums  *CODE"
"22","Modular 2 Story"
"220","Recreational Pool Enclosure"
"221","Rooming Houses"
"222","Lodges"
"223","Guest Cottages"
"224","Bed And Breakfast Inns"
"225","Guest Houses"
"226","Bath Houses"
"227","Complete Auto Dealership"
"228","Kennel"
"23","Modular 1 1/2 Story Fin"
"24","2 1/2 Story Unfin"
"25","3 Story"
"27","Modular 1 1/2 Story Unfin"
"300","Apartments (Hi-Rise)"
"301","Armory"
"302","Auditorium"
"303","Showroom"
"304","Bank"
"305","Drive-up Mini Banks"
"306","Bowling Alley"
"308","Church w/Sunday School"
"309","Church"
"31","Manufactured Home used as storage"
"310","City Club"
"311","Clubhouse"
"312","Multiple - Elderly Assisted Living"
"313","Convlsnt Hosp Nursing Home"
"314","Country Club"
"315","Creamery"
"316","Dairy Milking Parlor"
"317","Dairy Sales"
"318","Department Store"
"319","Discount Store"
"32","Mobile Home 1 Story"
"320","Urgent Care Clinics"
"321","Dormitory Residence Halls"
"322","Fire Station Staffed"
"323","Fraternal Building"
"324","Fraternity"
"325","Service Garage"
"326","Storage Garage"
"327","Government Building"
"328","Storage Hangar"
"329","Maintenance Hangar"
"33","Mobile Home 1 Story w/ Additions"
"330","Home For the Elderly"
"331","Hospital"
"332","Hotel - Full Service"
"333","Indust Heavy Manufacturing"
"334","Indust Lght Manufacturing"
"335","Jail - Correctional Facility"
"336","Laundromat"
