" LEA","LEADESC"
"C0BRTH000","M&C REAL ESTATE SUBDIVISION"
"C0BRTH000PW1","LOVES MINOR"
"C0BRTH000PW2","M&C REAL ESTATE MINOR SUB 2"
"C0CHUR000","CHURCH IN ECONOMIC AREA 0"
"C0JOHN000","JOHNSTOWN I-25 GATEWAY CENTER"
"C0JOHN000PW1","JOHNSTOWN I-25 GATEWAY CENTER"
"C0JOHN005","RURAL MEAD/JOHNSTOWN"
"C0JOHN005PW1","JOHNSTOWN I-25 GATEWAY CENTER FG#4"
"C0JOHN010","JOHNSTOWN CLEARVIEW PUD MULTI UNIT"
"C0JOHN300","JOHNSTOWN COMMERCIAL"
"C0JOHN305","JOHNSTOWN INDUSTRIAL"
"C0JOHN310","JOHNSTOWN RURAL COMMERCIAL"
"C0JOHN310PW1","JOHNSTOWN FARMS FILING 1"
"C0JOHN315","JOHNSTOWN RURAL NORTH"
"C0JOHN320PW1","JOHNSTOWN WELTY RIDGE FG#1"
"C0JOHN325PW1","WHITEHALL FILING NO. 1"
"C0JOHN330","LEDGE ROCK CENTER"
"C0JOHN330PW1","EAST LEDGE ROCK CENTER FILING 1"
"C0JOHN330PW2","WEST LEDGE ROCK CENTER FILING 1"
"C0JOHN330PW3","WEST LEDGE ROCK CENTER SUB FILING 1 REPLAT A"
"C0JOHN330PW4","EAST LEDGE ROCK CENTER SUB FILING 2 REPLAT A"
"C0JOHN335PW1","OXY LAND SUBDIVISION"
"C0JOHN400","PODTBURG SUBDIVISION"
"C0MILL000","MILLIKEN COMMERCIAL"
"C0MILL000PW1","MILLIKEN SETTLERS VILLAGE"
"C0MILL005","MILLIKEN INDUSTRIAL"
"C0MILL005PW1","MILLIKEN FRONTIER COMM CENTER REPLAT A"
"C0MILL005PW2","MILLIKEN FRONTIER COMM CENTER REPLAT C"
"C0MILL010","MILLIKEN NON-60 COMMERCIAL"
"C0MILL015","MILLIKEN NORTH COMMERCIAL"
"C0SCHL000","SCHOOL IN ECONOMIC AREA 1"
"C2AULT030","AULT APARTMENTS"
"C2CHUR000","CHURCH IN ECONOMIC AREA 2"
"C2EVAN000","EVANS 35TH AVE COMMERCIAL WEST"
"C2EVAN000PW1","ASHCROFT HEIGHTS TRACT E 1ST REPLAT"
"C2EVAN005","EVANS 47TH AVE COMMERCIAL"
"C2EVAN005PW1","TUSCANY 2ND FILING RPLT A"
"C2EVAN010","EVANS APARTMENTS WEST"
"C2GRLY300","GREELEY 29TH ST (44TH AVE TO 47THE AVE) COMM"
