" TAXYEAR","TAXDISTRICT","TAXINGAUTHORITY"
"2025","6427","0203"
"2025","8586","0303"
"2025","0505","0205"
"2025","3655","1050"
"2025","3911","0100"
"2025","4512","0420"
"2025","4932","0700"
"2025","4299","1483"
"2025","5212","0531"
"2025","6164","0507"
"2025","1435","0301"
"2025","5554","1578"
"2025","6018","1579"
"2025","3823","0700"
"2025","6952","0402"
"2025","0563","1200"
"2025","2215","0302"
"2025","3469","0406"
"2025","4235","1204"
"2025","5577","0100"
"2025","0555","0700"
"2025","4041","0700"
"2025","3166","1209"
"2025","2847","0100"
"2025","0127","0100"
"2025","2342","0303"
"2025","2481","1050"
"2025","2617","0206"
"2025","9999","1768"
"2025","2739","0100"
"2025","3063","0509"
"2025","4109","0510"
"2025","0608","1050"
"2025","2467","0700"
"2025","2903","0700"
"2025","6100","1429"
"2025","6295","1200"
"2025","6569","1050"
"2025","4045","0208"
"2025","4679","1457"
"2025","4943","0700"
"2025","6582","1761"
"2025","3689","0408"
"2025","3662","0100"
"2025","6672","0900"
"2025","0968","0100"
"2025","3066","0313"
"2025","3135","0213"
"2025","6528","0900"
"2025","6856","0301"
"2025","0635","1200"
"2025","6056","0900"
"2025","6907","0507"
"2025","4350","1051"
"2025","2305","1202"
"2025","6996","0100"
"2025","4089","0204"
"2025","6486","0407"
"2025","6141","1050"
"2025","0429","0521"
"2025","4360","0203"
"2025","4953","0100"
"2025","5177","0100"
"2025","2756","0201"
"2025","3306","0213"
"2025","3522","0404"
"2025","4134","0311"
"2025","5139","0100"
"2025","9999","1487"
"2025","4474","1201"
"2025","6265","1676"
"2025","3178","0308"
"2025","4243","1050"
"2025","5125","0100"
"2025","6599","0100"
"2025","5154","0100"
"2025","5990","1639"
"2025","9999","1541"
"2025","0078","0900"
"2025","0437","1051"
"2025","2150","1051"
"2025","3606","0204"
"2025","4317","0100"
"2025","3047","0302"
"2025","4473","0100"
"2025","5570","0402"
"2025","2844","0309"
"2025","5387","0404"
"2025","5553","0301"
"2025","6559","0507"
"2025","6370","0203"
"2025","2664","0405"
"2025","2920","1050"
"2025","3482","0100"
"2025","6645","0301"
"2025","6743","0100"
"2025","5234","0407"
"2025","6331","1684"
"2025","6223","0301"
"2025","2589","0302"
"2025","2424","0514"
"2025","3293","0309"
"2025","3626","1209"
"2025","4004","0206"
"2025","5474","0201"
"2025","9999","1677"
"2025","3551","0406"
"2025","3956","0406"
"2025","3970","0301"
"2025","5170","0309"
"2025","6921","0100"
"2025","2151","1051"
"2025","9999","1719"
"2025","9652","0424"
"2025","4442","1050"
"2025","4906","1051"
"2025","4374","0100"
"2025","6536","0301"
"2025","0699","0206"
"2025","2392","1204"
"2025","3277","0309"
"2025","4849","0518"
"2025","3376","0100"
"2025","4378","1402"
"2025","5390","0950"
"2025","5454","0301"
"2025","4062","0313"
"2025","4141","1202"
"2025","2848","0100"
"2025","6731","0203"
"2025","2475","0100"
"2025","4845","0301"
"2025","5370","1360"
"2025","5358","0301"
"2025","6422","0502"
"2025","4237","0100"
"2025","4262","1366"
"2025","3406","0313"
"2025","4258","1357"
"2025","5015","0204"
"2025","2794","0100"
"2025","4197","0201"
"2025","5039","1050"
"2025","6576","1202"
"2025","3568","0213"
"2025","4061","0313"
"2025","4191","0700"
"2025","4927","0303"
"2025","3606","1051"
"2025","6485","0521"
"2025","5983","0100"
"2025","2664","0309"
"2025","6075","0100"
"2025","3351","0421"
"2025","4597","0406"
"2025","0802","0301"
"2025","4930","0100"
"2025","2185","0700"
"2025","4082","0100"
"2025","6814","0213"
"2025","6936","0512"
"2025","4476","1050"
"2025","5597","0306"
"2025","5679","0203"
"2025","5093","1200"
"2025","6895","0206"
"2025","0498","0100"
"2025","3922","0507"
"2025","5447","0620"
"2025","6344","0301"
"2025","2372","1050"
"2025","3135","0900"
"2025","3320","1206"
"2025","6441","0205"
"2025","9999","1752"
"2025","4944","1201"
"2025","5852","0512"
"2025","6037","0302"
"2025","6613","0301"
"2025","4112","0309"
"2025","4433","0620"
"2025","4896","0700"
"2025","5219","0406"
"2025","5805","1419"
"2025","6138","1202"
"2025","0837","0301"
"2025","4122","0100"
"2025","5791","0510"
"2025","6902","1204"
"2025","6993","0966"
"2025","4031","0512"
"2025","4168","1300"
"2025","4117","0100"
"2025","5342","0306"
"2025","5623","1588"
"2025","4226","0700"
"2025","4276","1050"
"2025","5426","0507"
"2025","2487","0518"
"2025","3476","0100"
"2025","5334","0100"
"2025","5747","0700"
"2025","5998","0700"
"2025","6317","0100"
"2025","5221","0507"
"2025","4144","0507"
"2025","4432","1378"
"2025","6348","0208"
"2025","5111","0420"
"2025","5449","0301"
"2025","5538","0204"
"2025","0670","0206"
"2025","2551","0428"
"2025","4625","0311"
"2025","4584","0203"
"2025","6549","1609"
"2025","0505","0513"
"2025","4459","0620"
"2025","5487","0303"
"2025","5669","0304"
"2025","5590","0512"
"2025","4087","1204"
"2025","4643","0620"
"2025","4717","0216"
"2025","5266","0620"
"2025","5754","1050"
"2025","6820","0213"
"2025","5931","0100"
"2025","6675","1604"
"2025","2153","0411"
"2025","3972","1202"
"2025","4391","1459"
"2025","3542","0100"
"2025","4102","0309"
"2025","4561","0100"
"2025","0248","0512"
"2025","6132","0100"
"2025","6154","1665"
"2025","6681","0303"
"2025","2096","0205"
"2025","3222","0213"
"2025","5264","1050"
"2025","6229","0100"
"2025","6857","1809"
"2025","6884","0512"
"2025","3415","1200"
"2025","2757","0622"
"2025","5557","0700"
"2025","1472","0406"
"2025","2812","0513"
"2025","6925","0100"
"2025","0142","0301"
"2025","0731","1050"
"2025","4118","1050"
"2025","5818","1051"
"2025","6623","0301"
"2025","2522","0302"
"2025","5482","0301"
"2025","6413","0205"
"2025","2403","0620"
"2025","4899","0884"
"2025","6204","0100"
"2025","3919","0700"
"2025","6078","0900"
"2025","6406","1050"
"2025","6691","1803"
"2025","2462","1208"
"2025","2820","0100"
"2025","4247","0100"
"2025","5382","0301"
"2025","5438","0100"
"2025","6397","1517"
"2025","0144","0301"
"2025","4139","0100"
"2025","6266","1655"
"2025","2371","0205"
"2025","2868","0305"
"2025","3791","0304"
"2025","4230","0620"
"2025","4344","0521"
"2025","5484","0311"
"2025","5642","0911"
"2025","2761","0201"
"2025","3835","0901"
"2025","4215","1200"
"2025","4683","1456"
"2025","4622","0213"
"2025","4720","0208"
"2025","6820","1050"
"2025","2417","1206"
"2025","5550","1202"
"2025","2144","0305"
"2025","5880","1433"
"2025","6884","0404"
"2025","3173","0700"
"2025","4560","0511"
"2025","5362","0700"
"2025","3570","1050"
"2025","5097","0700"
"2025","6168","0100"
"2025","6907","0213"
"2025","6871","1050"
"2025","3922","1050"
"2025","4941","0620"
"2025","2879","0305"
"2025","9672","0515"
"2025","3838","0100"
"2025","4934","1050"
"2025","1451","0620"
"2025","2601","0311"
"2025","2910","0313"
"2025","4376","1417"
"2025","6049","0510"
"2025","6689","0900"
"2025","4829","0620"
"2025","4923","0428"
"2025","3157","0100"
"2025","4474","1310"
"2025","6434","1206"
"2025","2722","0428"
"2025","3164","0700"
"2025","3420","0700"
"2025","3638","0205"
"2025","4263","0301"
"2025","5498","0309"
"2025","6486","0301"
"2025","6537","0700"
"2025","4049","0806"
"2025","3015","1050"
"2025","3649","0301"
"2025","4284","0900"
"2025","4870","0213"
"2025","6477","1587"
"2025","0133","1050"
"2025","5600","0402"
"2025","4440","1208"
"2025","6551","0309"
"2025","5487","0406"
"2025","5622","0301"
"2025","2404","0301"
"2025","2700","0100"
"2025","0195","1300"
"2025","3864","1050"
"2025","4005","0700"
"2025","3202","0100"
"2025","4603","0302"
"2025","4881","1463"
"2025","5312","0301"
"2025","5906","0205"
"2025","8590","0301"
"2025","5045","0202"
"2025","6389","0976"
"2025","2776","0503"
"2025","6568","0512"
"2025","2841","1200"
"2025","3059","0309"
"2025","3613","0301"
"2025","5161","0700"
"2025","5766","0309"
"2025","6127","1050"
"2025","2416","0304"
"2025","4088","1050"
"2025","6220","0100"
"2025","4102","1200"
"2025","5725","0301"
"2025","2448","0518"
"2025","4330","0100"
"2025","6062","1202"
"2025","6169","0305"
"2025","6613","0700"
"2025","3663","0406"
"2025","4171","0100"
"2025","4358","0100"
"2025","5241","1050"
"2025","5865","1435"
"2025","2180","0511"
"2025","2816","1050"
"2025","3953","0204"
"2025","4130","1204"
"2025","4187","1409"
"2025","9999","1631"
"2025","4958","0301"
"2025","5809","0901"
"2025","9999","1832"
"2025","4072","0512"
"2025","4648","1050"
"2025","3543","0512"
"2025","2941","0100"
"2025","3645","0100"
"2025","9999","0420"
"2025","2329","1050"
"2025","2768","1206"
"2025","3287","0100"
"2025","0316","0700"
"2025","0510","0901"
"2025","3040","0700"
"2025","5170","1200"
"2025","2631","0700"
"2025","3978","0620"
"2025","5451","0305"
"2025","5512","0420"
"2025","6099","0201"
"2025","0114","0100"
"2025","5309","0521"
"2025","6991","1050"
"2025","0319","1050"
"2025","2181","0309"
"2025","5802","0421"
"2025","5858","1200"
"2025","1295","0213"
"2025","3837","1050"
"2025","4627","0900"
"2025","9999","1787"
"2025","6970","0402"
"2025","2215","1201"
"2025","3699","1050"
"2025","3498","1391"
"2025","4704","1206"
"2025","3159","1050"
"2025","2164","0206"
"2025","3369","1351"
"2025","6409","1675"
"2025","6477","0620"
"2025","6910","0512"
"2025","3045","0100"
"2025","4655","0901"
"2025","5195","1050"
"2025","6122","0972"
"2025","2183","0700"
"2025","2434","1207"
