" AUTHID","TAXYEAR","MILLLEVY","CREDITLEVY","GROUPID","NAME"
"ABATEMENT","2025","0.001",,"0514","ABATEMENT"
"ABATEMENT","2025","0.136",,"0518","ABATEMENT"
"ABATEMENT","2025","0.095",,"0512","ABATEMENT"
"ABATEMENT","2025","0.002",,"0516","ABATEMENT"
"ABATEMENT","2025","0.068",,"0517","ABATEMENT"
"ABATEMENT","2025","0.111",,"0527","ABATEMENT"
"ABATEMENT","2025","0.001",,"0911","ABATEMENT"
"ABATEMENT","2025","0.014",,"0700","ABATEMENT"
"ABATEMENT","2025","0.005",,"1050","ABATEMENT"
"ABATEMENT","2025","0.000",,"0201","ABATEMENT"
"ABATEMENT","2025","0.000",,"0202","ABATEMENT"
"ABATEMENT","2025","0.000",,"0203","ABATEMENT"
"ABATEMENT","2025","0.000",,"0204","ABATEMENT"
"ABATEMENT","2025","0.000",,"0205","ABATEMENT"
"ABATEMENT","2025","0.000",,"0206","ABATEMENT"
"ABATEMENT","2025","0.000",,"0208","ABATEMENT"
"ABATEMENT","2025","0.000",,"0209","ABATEMENT"
"ABATEMENT","2025","0.000",,"0213","ABATEMENT"
"ABATEMENT","2025","0.000",,"0214","ABATEMENT"
"ABATEMENT","2025","0.000",,"0215","ABATEMENT"
"ABATEMENT","2025","0.000",,"0216","ABATEMENT"
"ABATEMENT","2025","0.000",,"0217","ABATEMENT"
"ABATEMENT","2025","0.005",,"0302","ABATEMENT"
"ABATEMENT","2025","0.004",,"0309","ABATEMENT"
"ABATEMENT","2025","0.152",,"0313","ABATEMENT"
"ABATEMENT","2025","0.029",,"0402","ABATEMENT"
"ABATEMENT","2025","0.014",,"0401","ABATEMENT"
"ABATEMENT","2025","0.022",,"0423","ABATEMENT"
"ABATEMENT","2025","0.049",,"0418","ABATEMENT"
"ABATEMENT","2025","0.048",,"0434","ABATEMENT"
"ABATEMENT","2025","0.057",,"0502","ABATEMENT"
"ABATEMENT","2025","0.004",,"0506","ABATEMENT"
"ABATEMENT","2025","0.001",,"0509","ABATEMENT"
"BOND","2025","1.227",,"0421","BOND"
"BOND","2025","15.966",,"0413","BOND"
"BOND","2025","3.357",,"0419","BOND"
"BOND","2025","1.399",,"0407","BOND"
"BOND","2025","1.949",,"0404","BOND"
"BOND","2025","0.520",,"0302","BOND"
"BOND","2025","0.000",,"0217","BOND"
"BOND","2025","0.000",,"0216","BOND"
"BOND","2025","0.000",,"0215","BOND"
"BOND","2025","0.000",,"0214","BOND"
"BOND","2025","0.000",,"0213","BOND"
"BOND","2025","0.000",,"0209","BOND"
"BOND","2025","0.000",,"0208","BOND"
"BOND","2025","0.000",,"0210","BOND"
"BOND","2025","0.000",,"0211","BOND"
"BOND","2025","0.000",,"0206","BOND"
"BOND","2025","0.000",,"0207","BOND"
"BOND","2025","0.000",,"0205","BOND"
"BOND","2025","0.000",,"0204","BOND"
"BOND","2025","0.000",,"0203","BOND"
"BOND","2025","0.000",,"0202","BOND"
"BOND","2025","0.000",,"0201","BOND"
"BOND","2025","50.000",,"1637","BOND"
"BOND","2025","36.800",,"1640","BOND"
"BOND","2025","0.000",,"1653","BOND"
"BOND","2025","55.371",,"1659","BOND"
"BOND","2025","56.308",,"1652","BOND"
"BOND","2025","50.000",,"1662","BOND"
"BOND","2025","45.000",,"1664","BOND"
"BOND","2025","46.000",,"1666","BOND"
"BOND","2025","54.911",,"1668","BOND"
"BOND","2025","37.818",,"1675","BOND"
"BOND","2025","0.000",,"1681","BOND"
"BOND","2025","59.074",,"1685","BOND"
"BOND","2025","45.295",,"1694","BOND"
"BOND","2025","26.851",,"1695","BOND"
"BOND","2025","45.356",,"1706","BOND"
"BOND","2025","5.370",,"1713","BOND"
"BOND","2025","57.262",,"1731","BOND"
